Study_Hours,Attendance,Previous_Marks,Assignment,Final_Score
9.0,82,46,60,68.7
4.7,55,100,82,73.2
6.7,90,55,50,68.6
1.7,64,47,84,57.4
1.9,93,75,42,64.7
0.4,52,99,77,65.0
1.7,92,60,70,69.5
2.8,96,38,63,58.0
1.8,84,64,81,65.4
0.9,63,89,90,68.5
1.2,51,92,51,59.0
4.6,78,81,100,81.5
2.1,53,77,85,61.7
3.6,75,90,82,78.2
5.0,100,53,66,67.0
6.9,61,87,60,71.9
0.4,51,93,64,60.9
8.0,66,59,69,66.8
6.3,84,58,69,70.7
0.8,59,39,97,54.5
8.7,97,68,49,75.6
9.2,71,84,42,78.0
0.6,90,57,52,60.7
2.8,92,47,99,69.0
8.1,70,70,66,69.7
7.5,64,94,57,76.5
1.8,84,75,98,73.8
2.1,97,89,84,85.0
3.7,70,38,63,56.0
4.8,70,74,85,67.6
6.2,70,89,53,72.8
3.7,93,57,78,63.6
4.6,81,32,83,60.5
7.5,54,80,96,78.0
0.4,88,37,43,43.2
2.5,58,99,55,70.7
7.1,67,88,90,82.6
9.0,70,90,49,70.7
5.1,57,87,87,77.2
5.3,93,99,76,78.9
1.1,83,41,66,52.3
4.5,59,38,87,53.3
5.3,100,78,40,65.5
2.4,90,46,44,54.4
2.7,73,83,52,64.4
3.8,89,73,84,75.7
0.2,73,61,42,51.4
3.2,81,64,56,62.5
2.1,82,78,58,62.1
3.3,87,83,76,73.4
1.2,93,45,44,45.9
8.9,100,41,86,80.4
5.9,98,37,81,69.9
6.8,83,50,83,71.0
7.9,60,77,63,71.0
5.0,80,37,82,65.6
0.9,67,57,72,55.4
5.4,72,39,94,64.5
5.9,71,81,60,74.1
7.5,92,44,42,60.7
4.3,67,33,43,51.9
1.3,89,91,90,77.4
2.8,96,33,71,55.0
3.6,90,70,63,69.5
6.5,96,84,91,85.4
5.7,88,57,74,66.5
3.6,69,76,57,62.8
9.9,62,38,42,53.8
6.1,94,31,78,71.7
2.4,50,96,93,73.5
1.0,53,77,65,53.9
1.5,73,98,99,76.1
2.5,85,57,100,74.3
1.6,85,43,92,67.4
1.9,94,75,63,68.2
2.9,51,42,98,55.2
1.7,77,45,40,48.8
9.0,75,69,90,80.0
0.8,72,59,89,64.9
5.2,64,94,73,75.8
4.1,85,87,99,79.3
9.8,76,77,98,84.1
1.1,55,78,51,48.1
4.0,84,31,56,54.4
9.7,88,43,60,64.7
8.7,87,46,60,65.7
8.2,84,60,42,69.3
2.6,85,39,83,63.0
1.7,59,99,67,67.8
6.7,79,66,64,69.5
9.3,90,93,83,93.8
5.6,87,59,45,61.5
5.7,78,63,81,71.6
2.8,92,47,69,63.5
7.7,88,92,71,82.2
1.9,99,78,61,77.6
3.2,53,85,97,66.8
4.3,54,87,77,62.4
5.1,53,56,53,53.9
2.4,85,84,73,70.8
1.1,94,48,82,57.9
6.1,65,52,86,66.9
2.9,74,76,97,74.3
5.8,63,95,65,75.7
1.5,60,80,79,62.4
4.8,78,57,93,65.4
5.3,83,86,52,68.9
0.5,71,87,69,59.7
3.4,63,44,58,56.1
1.3,73,45,81,60.7
0.6,88,76,80,74.0
9.9,75,92,89,89.2
3.2,92,41,78,60.0
8.1,85,72,42,68.5
2.5,88,58,70,67.5
6.8,65,78,51,60.8
7.6,87,32,54,61.9
6.0,81,98,93,88.2
4.7,55,89,92,80.1
4.1,83,95,84,83.4
3.5,57,55,77,59.5
9.3,79,100,79,87.5
8.3,76,98,53,79.5
9.7,56,76,74,74.4
1.2,76,71,55,53.5
7.3,74,60,89,74.1
9.4,95,51,63,65.7
1.8,90,46,56,50.8
0.7,64,49,57,49.3
7.4,74,37,81,66.1
5.7,71,78,56,63.3
8.4,67,67,55,69.9
1.4,61,82,60,64.6
8.0,72,57,63,68.8
2.0,100,58,73,68.6
1.6,94,40,91,66.3
1.6,88,76,75,70.8
8.1,74,74,82,77.8
6.7,59,47,66,55.2
5.2,79,79,78,73.6
3.6,59,78,56,60.7
8.8,83,51,64,70.4
3.9,95,74,90,80.9
8.2,62,90,77,74.1
4.4,78,50,81,64.7
3.8,87,100,60,75.9
4.6,90,90,43,77.6
3.0,94,65,64,69.0
7.5,58,53,98,71.0
5.0,62,61,99,72.2
2.3,86,88,69,75.5
9.0,63,34,96,60.5
3.8,86,45,72,62.5
5.4,58,40,78,59.1
9.1,57,64,65,66.5
6.2,88,71,64,68.1
1.2,89,39,92,60.0
9.4,52,37,55,51.9
6.3,96,55,88,77.7
3.3,89,32,63,57.8
1.4,82,88,44,68.7
7.9,81,32,93,69.1
6.2,56,67,94,70.3
5.3,68,31,81,53.9
8.9,83,46,78,71.1
7.9,63,65,52,70.0
1.5,99,31,69,59.6
3.1,96,63,99,75.4
2.5,95,56,46,61.8
7.4,68,66,86,76.0
0.3,100,100,56,76.0
5.7,75,51,94,72.3
7.6,66,97,66,79.7
8.8,77,43,74,68.1
3.4,68,52,44,53.1
8.2,76,73,81,75.5
1.1,97,94,44,68.1
8.5,68,90,63,75.6
1.3,82,84,46,59.2
4.0,100,100,46,78.6
8.0,56,79,93,73.3
1.5,78,41,94,62.0
2.3,92,44,53,59.0
7.2,54,46,94,60.4
7.2,79,63,54,68.1
6.4,98,64,44,63.0
6.9,92,68,76,79.2
5.4,57,84,43,63.0
2.5,91,88,69,76.7
3.5,61,34,59,49.5
1.8,91,59,92,69.2
9.1,62,33,65,56.9
5.8,75,44,48,54.6
4.0,67,64,69,65.7
4.6,91,84,98,89.0
9.5,100,95,83,93.7
1.5,98,89,87,77.2
5.9,69,53,61,59.8
5.1,65,51,79,65.1
6.1,86,73,80,78.5
0.2,52,61,83,55.0
8.7,76,80,69,76.3
9.3,64,32,59,52.5
5.7,83,99,67,79.2
7.0,94,61,100,80.8
9.2,71,31,46,54.7
7.1,89,88,92,87.6
1.5,72,43,43,52.8
5.8,98,80,67,78.9
6.1,53,40,94,62.3
4.2,100,39,74,66.4
7.4,90,87,72,82.0
9.3,72,63,46,69.4
9.3,96,82,48,80.4
4.5,58,57,73,61.8
1.1,73,47,78,60.9
9.8,70,55,81,73.6
8.4,90,36,73,69.4
1.2,95,74,52,67.8
9.2,65,74,68,70.6
8.7,74,100,74,81.9
5.2,75,64,84,68.2
5.9,98,81,49,73.3
4.0,94,50,69,62.9
0.5,58,57,83,51.1
3.4,64,73,65,59.9
8.0,88,85,74,75.4
0.0,82,39,67,54.0
3.3,50,52,68,52.9
4.0,54,77,91,70.2
5.4,58,81,45,58.2
9.2,93,44,42,66.9
3.5,55,84,68,61.5
3.5,77,72,96,76.2
7.4,94,79,41,67.7
4.5,75,35,94,62.6
2.2,77,62,61,59.1
4.5,89,91,85,84.4
1.4,64,84,86,70.4
1.8,55,68,89,65.5
5.0,76,41,66,53.0
4.2,87,60,90,77.4
9.1,53,82,61,66.7
3.6,60,63,49,59.7
5.8,70,70,91,80.1
6.3,79,39,88,70.5
0.1,67,81,88,64.0
6.6,84,86,58,71.7
1.8,52,32,63,41.5
9.6,61,86,66,76.7
1.5,76,62,75,59.2
4.1,79,36,82,55.6
0.9,70,33,56,49.4
10.0,87,68,95,83.4
5.0,70,77,49,66.6
6.0,87,45,93,74.1
0.7,89,67,56,62.4
7.5,64,33,83,63.6
2.1,67,33,49,49.8
9.0,78,56,49,68.2
2.1,97,46,77,67.6
1.9,87,99,56,73.8
0.4,70,83,65,61.4
4.7,66,37,65,55.2
5.6,90,82,90,83.2
0.7,100,34,73,60.9
7.8,67,98,43,72.9
4.5,86,76,89,76.3
5.2,87,69,66,74.6
4.4,61,36,100,59.1
4.0,60,41,60,52.5
5.6,97,54,75,74.0
1.6,98,57,77,64.9
1.8,69,72,85,71.0
8.6,58,76,70,70.5
9.5,50,78,46,61.1
3.7,52,83,83,66.9
2.7,70,47,73,54.5
6.4,72,56,57,60.6
4.1,58,35,63,48.0
0.3,68,98,52,62.8
1.6,94,100,52,77.6
7.2,95,51,64,70.9
6.6,68,88,44,68.2
0.3,72,76,78,62.9
2.2,76,97,68,73.1
2.3,76,61,83,65.2
6.7,88,30,96,69.2
0.2,85,83,85,74.1
1.0,61,75,72,57.5
8.0,76,70,63,75.3
1.8,95,70,49,56.3
6.5,83,37,97,69.8
2.4,82,61,64,66.5
1.0,77,59,80,65.9
2.4,80,75,49,62.9
7.2,81,81,78,76.5
8.6,99,90,55,82.9
8.3,69,42,99,78.3
4.0,89,69,67,72.2
6.7,84,90,51,69.9
2.0,80,73,83,70.0
2.9,80,91,97,78.2
9.0,87,73,71,75.4
0.1,71,77,90,68.5
0.9,94,88,68,70.0
2.1,90,86,84,81.6
0.3,58,40,92,56.8
1.8,58,54,100,59.1
5.8,64,90,89,74.8
4.2,62,75,66,65.9
8.9,71,83,65,78.9
8.2,65,63,42,60.4
3.4,81,36,65,59.4
2.6,51,91,78,71.0
3.8,75,86,40,65.0
5.9,63,34,74,53.4
2.7,87,64,92,74.7
6.2,83,66,66,71.0
4.1,57,89,85,70.2
5.5,85,94,43,75.0
4.4,70,45,58,59.2
2.9,95,59,61,66.4
9.5,92,71,99,81.0
7.6,77,90,45,73.2
1.4,95,77,91,77.1
8.7,93,91,48,88.0
4.9,97,93,50,77.2
8.9,55,86,61,70.5
8.0,69,97,86,85.4
4.3,80,75,48,64.0
0.2,82,57,68,57.0
2.7,93,32,82,57.2
5.4,56,66,97,67.2
6.3,57,77,49,56.2
2.6,58,48,73,54.8
1.4,51,46,70,49.3
8.3,66,69,61,70.4
9.8,94,79,85,84.8
5.3,86,58,43,57.5
1.7,91,80,41,70.3
2.7,93,71,44,64.0
0.2,66,58,85,60.8
9.1,87,95,54,82.2
1.2,84,46,58,57.5
5.8,96,60,77,75.4
2.7,88,81,98,76.9
5.5,79,68,54,67.5
6.5,55,89,85,75.1
8.3,53,80,47,59.0
2.1,100,45,59,62.2
0.1,86,43,51,50.5
1.4,84,71,43,57.3
9.0,58,80,92,80.8
8.7,55,53,77,64.5
6.0,62,72,82,69.5
6.0,71,48,94,68.5
6.7,77,90,93,83.2
1.8,79,92,78,73.1
9.1,85,55,96,84.1
4.2,51,64,75,57.5
3.8,85,96,97,79.1
5.2,57,85,54,64.0
0.5,94,69,40,56.8
1.7,91,58,70,61.4
7.4,99,35,48,63.2
0.8,58,81,62,59.3
6.0,50,30,91,55.3
2.5,62,81,65,61.5
3.9,99,53,79,70.6
2.9,64,63,83,63.0
3.6,81,36,78,59.9
7.2,83,40,99,67.1
3.0,92,65,57,68.4
5.7,80,49,72,60.8
4.8,63,92,80,71.6
6.6,96,92,78,81.2
9.4,63,98,53,76.1
7.3,97,59,97,79.9
2.1,78,59,40,53.8
0.3,96,51,52,55.3
2.6,68,90,91,70.9
6.0,76,50,54,52.7
0.5,58,66,76,55.2
5.0,86,56,44,57.4
6.0,86,64,53,68.8
3.3,92,67,53,72.2
7.7,77,89,85,88.1
1.1,73,99,44,64.0
0.8,77,61,50,52.7
7.3,85,56,71,65.1
5.0,67,32,90,58.4
6.9,74,78,44,64.2
4.3,84,59,75,66.0
2.5,53,51,54,43.5
8.2,63,48,92,70.7
8.0,88,60,46,69.4
6.9,75,49,44,55.9
2.7,57,48,69,55.4
5.9,73,31,54,53.7
3.6,65,69,69,64.5
